enqcmss rdx, [0xFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp0.asm:2: error: parser: instruction expected
enqcmss rdx, [0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rel $ + 0x0] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rel $ + 0x0] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rel $ + 0xFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rel $ + 0xFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rel $ + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rel $ + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + 0x0] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + 0x0] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [r15 + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [r15 + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + rsi * 1  + 0x0] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + rsi * 1  + 0x0] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + rsi + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + rsi + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [r15 + rsi + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [r15 + rsi + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + r15 + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + r15 + 0xFFFF] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
enqcmss rdx, [rax + rsi * 2 + 0xFFFF2] /home/goubermouche/dev/projects/assembler/new_tools/scripts/temp1.asm:2: error: parser: instruction expected
